Web Search interest: carnegie mellon university
United States; 2004 - present

Interest over time
Week,carnegie mellon university
2005-09-04 - 2005-09-10,48
2005-09-11 - 2005-09-17,58
2005-09-18 - 2005-09-24,41
2005-09-25 - 2005-10-01,50
2005-10-02 - 2005-10-08,47
2005-10-09 - 2005-10-15,60
2005-10-16 - 2005-10-22,60
2005-10-23 - 2005-10-29,54
2005-10-30 - 2005-11-05,51
2005-11-06 - 2005-11-12,41
2005-11-13 - 2005-11-19,51
2005-11-20 - 2005-11-26,36
2005-11-27 - 2005-12-03,49
2005-12-04 - 2005-12-10,42
2005-12-11 - 2005-12-17,42
2005-12-18 - 2005-12-24,45
2005-12-25 - 2005-12-31,40
2006-01-01 - 2006-01-07,47
2006-01-08 - 2006-01-14,32
2006-01-15 - 2006-01-21,46
2006-01-22 - 2006-01-28,37
2006-01-29 - 2006-02-04,46
2006-02-05 - 2006-02-11,36
2006-02-12 - 2006-02-18,43
2006-02-19 - 2006-02-25,42
2006-02-26 - 2006-03-04,45
2006-03-05 - 2006-03-11,34
2006-03-12 - 2006-03-18,38
2006-03-19 - 2006-03-25,44
2006-03-26 - 2006-04-01,40
2006-04-02 - 2006-04-08,57
2006-04-09 - 2006-04-15,48
2006-04-16 - 2006-04-22,43
2006-04-23 - 2006-04-29,44
2006-04-30 - 2006-05-06,41
2006-05-07 - 2006-05-13,42
2006-05-14 - 2006-05-20,28
2006-05-21 - 2006-05-27,36
2006-05-28 - 2006-06-03,41
2006-06-04 - 2006-06-10,29
2006-06-11 - 2006-06-17,36
2006-06-18 - 2006-06-24,33
2006-06-25 - 2006-07-01,36
2006-07-02 - 2006-07-08,31
2006-07-09 - 2006-07-15,33
2006-07-16 - 2006-07-22,32
2006-07-23 - 2006-07-29,30
2006-07-30 - 2006-08-05,34
2006-08-06 - 2006-08-12,40
2006-08-13 - 2006-08-19,35
2006-08-20 - 2006-08-26,47
2006-08-27 - 2006-09-02,43
2006-09-03 - 2006-09-09,46
2006-09-10 - 2006-09-16,56
2006-09-17 - 2006-09-23,56
2006-09-24 - 2006-09-30,41
2006-10-01 - 2006-10-07,49
2006-10-08 - 2006-10-14,42
2006-10-15 - 2006-10-21,40
2006-10-22 - 2006-10-28,54
2006-10-29 - 2006-11-04,50
2006-11-05 - 2006-11-11,40
2006-11-12 - 2006-11-18,39
2006-11-19 - 2006-11-25,40
2006-11-26 - 2006-12-02,39
2006-12-03 - 2006-12-09,41
2006-12-10 - 2006-12-16,49
2006-12-17 - 2006-12-23,42
2006-12-24 - 2006-12-30,44
2006-12-31 - 2007-01-06,35
2007-01-07 - 2007-01-13,52
2007-01-14 - 2007-01-20,39
2007-01-21 - 2007-01-27,34
2007-01-28 - 2007-02-03,49
2007-02-04 - 2007-02-10,43
2007-02-11 - 2007-02-17,41
2007-02-18 - 2007-02-24,46
2007-02-25 - 2007-03-03,31
2007-03-04 - 2007-03-10,33
2007-03-11 - 2007-03-17,36
2007-03-18 - 2007-03-24,41
2007-03-25 - 2007-03-31,45
2007-04-01 - 2007-04-07,49
2007-04-08 - 2007-04-14,38
2007-04-15 - 2007-04-21,40
2007-04-22 - 2007-04-28,42
2007-04-29 - 2007-05-05,31
2007-05-06 - 2007-05-12,31
2007-05-13 - 2007-05-19,36
2007-05-20 - 2007-05-26,29
2007-05-27 - 2007-06-02,31
2007-06-03 - 2007-06-09,34
2007-06-10 - 2007-06-16,32
2007-06-17 - 2007-06-23,22
2007-06-24 - 2007-06-30,33
2007-07-01 - 2007-07-07,37
2007-07-08 - 2007-07-14,39
2007-07-15 - 2007-07-21,40
2007-07-22 - 2007-07-28,34
2007-07-29 - 2007-08-04,37
2007-08-05 - 2007-08-11,37
2007-08-12 - 2007-08-18,46
2007-08-19 - 2007-08-25,33
2007-08-26 - 2007-09-01,42
2007-09-02 - 2007-09-08,37
2007-09-09 - 2007-09-15,43
2007-09-16 - 2007-09-22,51
2007-09-23 - 2007-09-29,46
2007-09-30 - 2007-10-06,51
2007-10-07 - 2007-10-13,45
2007-10-14 - 2007-10-20,51
2007-10-21 - 2007-10-27,56
2007-10-28 - 2007-11-03,47
2007-11-04 - 2007-11-10,43
2007-11-11 - 2007-11-17,47
2007-11-18 - 2007-11-24,35
2007-11-25 - 2007-12-01,51
2007-12-02 - 2007-12-08,39
2007-12-09 - 2007-12-15,36
2007-12-16 - 2007-12-22,33
2007-12-23 - 2007-12-29,33
2007-12-30 - 2008-01-05,43
2008-01-06 - 2008-01-12,37
2008-01-13 - 2008-01-19,38
2008-01-20 - 2008-01-26,28
2008-01-27 - 2008-02-02,40
2008-02-03 - 2008-02-09,30
2008-02-10 - 2008-02-16,39
2008-02-17 - 2008-02-23,33
2008-02-24 - 2008-03-01,35
2008-03-02 - 2008-03-08,45
2008-03-09 - 2008-03-15,34
2008-03-16 - 2008-03-22,35
2008-03-23 - 2008-03-29,42
2008-03-30 - 2008-04-05,48
2008-04-06 - 2008-04-12,60
2008-04-13 - 2008-04-19,44
2008-04-20 - 2008-04-26,33
2008-04-27 - 2008-05-03,31
2008-05-04 - 2008-05-10,32
2008-05-11 - 2008-05-17,29
2008-05-18 - 2008-05-24,38
2008-05-25 - 2008-05-31,28
2008-06-01 - 2008-06-07,26
2008-06-08 - 2008-06-14,35
2008-06-15 - 2008-06-21,26
2008-06-22 - 2008-06-28,27
2008-06-29 - 2008-07-05,24
2008-07-06 - 2008-07-12,31
2008-07-13 - 2008-07-19,29
2008-07-20 - 2008-07-26,51
2008-07-27 - 2008-08-02,41
2008-08-03 - 2008-08-09,32
2008-08-10 - 2008-08-16,33
2008-08-17 - 2008-08-23,34
2008-08-24 - 2008-08-30,39
2008-08-31 - 2008-09-06,34
2008-09-07 - 2008-09-13,31
2008-09-14 - 2008-09-20,37
2008-09-21 - 2008-09-27,32
2008-09-28 - 2008-10-04,31
2008-10-05 - 2008-10-11,38
2008-10-12 - 2008-10-18,40
2008-10-19 - 2008-10-25,35
2008-10-26 - 2008-11-01,38
2008-11-02 - 2008-11-08,26
2008-11-09 - 2008-11-15,43
2008-11-16 - 2008-11-22,30
2008-11-23 - 2008-11-29,27
2008-11-30 - 2008-12-06,31
2008-12-07 - 2008-12-13,30
2008-12-14 - 2008-12-20,33
2008-12-21 - 2008-12-27,22
2008-12-28 - 2009-01-03,31
2009-01-04 - 2009-01-10,36
2009-01-11 - 2009-01-17,31
2009-01-18 - 2009-01-24,30
2009-01-25 - 2009-01-31,32
2009-02-01 - 2009-02-07,32
2009-02-08 - 2009-02-14,30
2009-02-15 - 2009-02-21,33
2009-02-22 - 2009-02-28,36
2009-03-01 - 2009-03-07,28
2009-03-08 - 2009-03-14,31
2009-03-15 - 2009-03-21,29
2009-03-22 - 2009-03-28,30
2009-03-29 - 2009-04-04,36
2009-04-05 - 2009-04-11,31
2009-04-12 - 2009-04-18,30
2009-04-19 - 2009-04-25,29
2009-04-26 - 2009-05-02,25
2009-05-03 - 2009-05-09,23
2009-05-10 - 2009-05-16,26
2009-05-17 - 2009-05-23,26
2009-05-24 - 2009-05-30,24
2009-05-31 - 2009-06-06,27
2009-06-07 - 2009-06-13,28
2009-06-14 - 2009-06-20,25
2009-06-21 - 2009-06-27,26
2009-06-28 - 2009-07-04,29
2009-07-05 - 2009-07-11,32
2009-07-12 - 2009-07-18,23
2009-07-19 - 2009-07-25,27
2009-07-26 - 2009-08-01,24
2009-08-02 - 2009-08-08,25
2009-08-09 - 2009-08-15,28
2009-08-16 - 2009-08-22,32
2009-08-23 - 2009-08-29,38
2009-08-30 - 2009-09-05,27
2009-09-06 - 2009-09-12,34
2009-09-13 - 2009-09-19,33
2009-09-20 - 2009-09-26,35
2009-09-27 - 2009-10-03,28
2009-10-04 - 2009-10-10,36
2009-10-11 - 2009-10-17,34
2009-10-18 - 2009-10-24,30
2009-10-25 - 2009-10-31,31
2009-11-01 - 2009-11-07,31
2009-11-08 - 2009-11-14,33
2009-11-15 - 2009-11-21,33
2009-11-22 - 2009-11-28,33
2009-11-29 - 2009-12-05,32
2009-12-06 - 2009-12-12,30
2009-12-13 - 2009-12-19,29
2009-12-20 - 2009-12-26,30
2009-12-27 - 2010-01-02,35
2010-01-03 - 2010-01-09,36
2010-01-10 - 2010-01-16,30
2010-01-17 - 2010-01-23,26
2010-01-24 - 2010-01-30,24
2010-01-31 - 2010-02-06,31
2010-02-07 - 2010-02-13,30
2010-02-14 - 2010-02-20,23
2010-02-21 - 2010-02-27,34
2010-02-28 - 2010-03-06,24
2010-03-07 - 2010-03-13,27
2010-03-14 - 2010-03-20,34
2010-03-21 - 2010-03-27,31
2010-03-28 - 2010-04-03,36
2010-04-04 - 2010-04-10,31
2010-04-11 - 2010-04-17,31
2010-04-18 - 2010-04-24,29
2010-04-25 - 2010-05-01,29
2010-05-02 - 2010-05-08,23
2010-05-09 - 2010-05-15,20
2010-05-16 - 2010-05-22,22
2010-05-23 - 2010-05-29,23
2010-05-30 - 2010-06-05,29
2010-06-06 - 2010-06-12,26
2010-06-13 - 2010-06-19,23
2010-06-20 - 2010-06-26,28
2010-06-27 - 2010-07-03,23
2010-07-04 - 2010-07-10,24
2010-07-11 - 2010-07-17,27
2010-07-18 - 2010-07-24,25
2010-07-25 - 2010-07-31,25
2010-08-01 - 2010-08-07,29
2010-08-08 - 2010-08-14,28
2010-08-15 - 2010-08-21,25
2010-08-22 - 2010-08-28,30
2010-08-29 - 2010-09-04,28
2010-09-05 - 2010-09-11,27
2010-09-12 - 2010-09-18,31
2010-09-19 - 2010-09-25,30
2010-09-26 - 2010-10-02,34
2010-10-03 - 2010-10-09,35
2010-10-10 - 2010-10-16,30
2010-10-17 - 2010-10-23,33
2010-10-24 - 2010-10-30,31
2010-10-31 - 2010-11-06,31
2010-11-07 - 2010-11-13,29
2010-11-14 - 2010-11-20,34
2010-11-21 - 2010-11-27,27
2010-11-28 - 2010-12-04,27
2010-12-05 - 2010-12-11,29
2010-12-12 - 2010-12-18,29
2010-12-19 - 2010-12-25,28
2010-12-26 - 2011-01-01,32
2011-01-02 - 2011-01-08,29
2011-01-09 - 2011-01-15,35
2011-01-16 - 2011-01-22,32
2011-01-23 - 2011-01-29,32
2011-01-30 - 2011-02-05,30
2011-02-06 - 2011-02-12,28
2011-02-13 - 2011-02-19,26
2011-02-20 - 2011-02-26,30
2011-02-27 - 2011-03-05,25
2011-03-06 - 2011-03-12,29
2011-03-13 - 2011-03-19,24
2011-03-20 - 2011-03-26,33
2011-03-27 - 2011-04-02,40
2011-04-03 - 2011-04-09,33
2011-04-10 - 2011-04-16,27
2011-04-17 - 2011-04-23,27
2011-04-24 - 2011-04-30,24
2011-05-01 - 2011-05-07,23
2011-05-08 - 2011-05-14,27
2011-05-15 - 2011-05-21,25
2011-05-22 - 2011-05-28,21
2011-05-29 - 2011-06-04,23
2011-06-05 - 2011-06-11,22
2011-06-12 - 2011-06-18,25
2011-06-19 - 2011-06-25,26
2011-06-26 - 2011-07-02,27
2011-07-03 - 2011-07-09,27
2011-07-10 - 2011-07-16,29
2011-07-17 - 2011-07-23,26
2011-07-24 - 2011-07-30,23
2011-07-31 - 2011-08-06,30
2011-08-07 - 2011-08-13,29
2011-08-14 - 2011-08-20,27
2011-08-21 - 2011-08-27,31
2011-08-28 - 2011-09-03,31
2011-09-04 - 2011-09-10,29
2011-09-11 - 2011-09-17,33
2011-09-18 - 2011-09-24,30
2011-09-25 - 2011-10-01,35
2011-10-02 - 2011-10-08,34
2011-10-09 - 2011-10-15,33
2011-10-16 - 2011-10-22,29
2011-10-23 - 2011-10-29,29
2011-10-30 - 2011-11-05,31
2011-11-06 - 2011-11-12,29
2011-11-13 - 2011-11-19,31
2011-11-20 - 2011-11-26,25
2011-11-27 - 2011-12-03,29
2011-12-04 - 2011-12-10,28
2011-12-11 - 2011-12-17,31
2011-12-18 - 2011-12-24,26
2011-12-25 - 2011-12-31,23
2012-01-01 - 2012-01-07,28
2012-01-08 - 2012-01-14,27
2012-01-15 - 2012-01-21,25
2012-01-22 - 2012-01-28,24
2012-01-29 - 2012-02-04,25
2012-02-05 - 2012-02-11,28
2012-02-12 - 2012-02-18,26
2012-02-19 - 2012-02-25,27
2012-02-26 - 2012-03-03,26
2012-03-04 - 2012-03-10,25
2012-03-11 - 2012-03-17,24
2012-03-18 - 2012-03-24,27
2012-03-25 - 2012-03-31,37
2012-04-01 - 2012-04-07,27
2012-04-08 - 2012-04-14,24
2012-04-15 - 2012-04-21,24
2012-04-22 - 2012-04-28,26
2012-04-29 - 2012-05-05,22
2012-05-06 - 2012-05-12,22
2012-05-13 - 2012-05-19,21
2012-05-20 - 2012-05-26,23
2012-05-27 - 2012-06-02,22
2012-06-03 - 2012-06-09,23
2012-06-10 - 2012-06-16,19
2012-06-17 - 2012-06-23,21
2012-06-24 - 2012-06-30,22
2012-07-01 - 2012-07-07,21
2012-07-08 - 2012-07-14,18
2012-07-15 - 2012-07-21,19
2012-07-22 - 2012-07-28,22
2012-07-29 - 2012-08-04,22
2012-08-05 - 2012-08-11,23
2012-08-12 - 2012-08-18,28
2012-08-19 - 2012-08-25,30
2012-08-26 - 2012-09-01,25
2012-09-02 - 2012-09-08,27
2012-09-09 - 2012-09-15,28
2012-09-16 - 2012-09-22,30
2012-09-23 - 2012-09-29,30
2012-09-30 - 2012-10-06,27
2012-10-07 - 2012-10-13,26
2012-10-14 - 2012-10-20,29
2012-10-21 - 2012-10-27,29
2012-10-28 - 2012-11-03,30
2012-11-04 - 2012-11-10,26
2012-11-11 - 2012-11-17,25
2012-11-18 - 2012-11-24,24
2012-11-25 - 2012-12-01,27
2012-12-02 - 2012-12-08,27
2012-12-09 - 2012-12-15,28
2012-12-16 - 2012-12-22,26
2012-12-23 - 2012-12-29,24
2012-12-30 - 2013-01-05,29
2013-01-06 - 2013-01-12,25
2013-01-13 - 2013-01-19,29
2013-01-20 - 2013-01-26,27
2013-01-27 - 2013-02-02,27
2013-02-03 - 2013-02-09,24
2013-02-10 - 2013-02-16,26
2013-02-17 - 2013-02-23,26
2013-02-24 - 2013-03-02,25
2013-03-03 - 2013-03-09,25
2013-03-10 - 2013-03-16,30
2013-03-17 - 2013-03-23,30
2013-03-24 - 2013-03-30,40
2013-03-31 - 2013-04-06,31
2013-04-07 - 2013-04-13,29
2013-04-14 - 2013-04-20,29
2013-04-21 - 2013-04-27,27
2013-04-28 - 2013-05-04,37
2013-05-05 - 2013-05-11,23
2013-05-12 - 2013-05-18,25
2013-05-19 - 2013-05-25,23
2013-05-26 - 2013-06-01,23
2013-06-02 - 2013-06-08,19
2013-06-09 - 2013-06-15,23
2013-06-16 - 2013-06-22,21
2013-06-23 - 2013-06-29,20
2013-06-30 - 2013-07-06,20
2013-07-07 - 2013-07-13,24
2013-07-14 - 2013-07-20,22
2013-07-21 - 2013-07-27,25
2013-07-28 - 2013-08-03,25
2013-08-04 - 2013-08-10,23
2013-08-11 - 2013-08-17,26
2013-08-18 - 2013-08-24,30
2013-08-25 - 2013-08-31,28
2013-09-01 - 2013-09-07,26
2013-09-08 - 2013-09-14,26
2013-09-15 - 2013-09-21,26
2013-09-22 - 2013-09-28,25
2013-09-29 - 2013-10-05,28
2013-10-06 - 2013-10-12,27
2013-10-13 - 2013-10-19,30
2013-10-20 - 2013-10-26,26
2013-10-27 - 2013-11-02,28
2013-11-03 - 2013-11-09,24
2013-11-10 - 2013-11-16,26
2013-11-17 - 2013-11-23,25
2013-11-24 - 2013-11-30,27
2013-12-01 - 2013-12-07,24
2013-12-08 - 2013-12-14,24
2013-12-15 - 2013-12-21,29
2013-12-22 - 2013-12-28,21
2013-12-29 - 2014-01-04,26
2014-01-05 - 2014-01-11,28
2014-01-12 - 2014-01-18,23
2014-01-19 - 2014-01-25,25
2014-01-26 - 2014-02-01,26
2014-02-02 - 2014-02-08,22
2014-02-09 - 2014-02-15,24
2014-02-16 - 2014-02-22,21
2014-02-23 - 2014-03-01,22
2014-03-02 - 2014-03-08,22
2014-03-09 - 2014-03-15,24
2014-03-16 - 2014-03-22,27
2014-03-23 - 2014-03-29,33
2014-03-30 - 2014-04-05,29
2014-04-06 - 2014-04-12,28
2014-04-13 - 2014-04-19,24
2014-04-20 - 2014-04-26,24
2014-04-27 - 2014-05-03,22
2014-05-04 - 2014-05-10,21
2014-05-11 - 2014-05-17,19
2014-05-18 - 2014-05-24,22
2014-05-25 - 2014-05-31,20
2014-06-01 - 2014-06-07,21
2014-06-08 - 2014-06-14,23
2014-06-15 - 2014-06-21,18
2014-06-22 - 2014-06-28,21
2014-06-29 - 2014-07-05,19
2014-07-06 - 2014-07-12,18
2014-07-13 - 2014-07-19,22
2014-07-20 - 2014-07-26,20
2014-07-27 - 2014-08-02,22
2014-08-03 - 2014-08-09,25
2014-08-10 - 2014-08-16,22
2014-08-17 - 2014-08-23,23
2014-08-24 - 2014-08-30,22
2014-08-31 - 2014-09-06,24
2014-09-07 - 2014-09-13,25
2014-09-14 - 2014-09-20,21
2014-09-21 - 2014-09-27,25
2014-09-28 - 2014-10-04,26
2014-10-05 - 2014-10-11,24
2014-10-12 - 2014-10-18,26
2014-10-19 - 2014-10-25,22
2014-10-26 - 2014-11-01,22
2014-11-02 - 2014-11-08,23
2014-11-09 - 2014-11-15,23
2014-11-16 - 2014-11-22,23
2014-11-23 - 2014-11-29,20
2014-11-30 - 2014-12-06,23
2014-12-07 - 2014-12-13,26
2014-12-14 - 2014-12-20,30
2014-12-21 - 2014-12-27,21
2014-12-28 - 2015-01-03,26
2015-01-04 - 2015-01-10,25
2015-01-11 - 2015-01-17,27
2015-01-18 - 2015-01-24,20
2015-01-25 - 2015-01-31,24
2015-02-01 - 2015-02-07,23
2015-02-08 - 2015-02-14,27
2015-02-15 - 2015-02-21,31
2015-02-22 - 2015-02-28,22
2015-03-01 - 2015-03-07,19
2015-03-08 - 2015-03-14,22
2015-03-15 - 2015-03-21,26
2015-03-22 - 2015-03-28,26
2015-03-29 - 2015-04-04,32
2015-04-05 - 2015-04-11,27
2015-04-12 - 2015-04-18,23
2015-04-19 - 2015-04-25,23
2015-04-26 - 2015-05-02,22
2015-05-03 - 2015-05-09,20
2015-05-10 - 2015-05-16,16
2015-05-17 - 2015-05-23,17
2015-05-24 - 2015-05-30,20
2015-05-31 - 2015-06-06,19
2015-06-07 - 2015-06-13,21
2015-06-14 - 2015-06-20,19
2015-06-21 - 2015-06-27,18
2015-06-28 - 2015-07-04,19
2015-07-05 - 2015-07-11,20
2015-07-12 - 2015-07-18,19
2015-07-19 - 2015-07-25,20
2015-07-26 - 2015-08-01,22
2015-08-02 - 2015-08-08,22
2015-08-09 - 2015-08-15,21
2015-08-16 - 2015-08-22,23
2015-08-23 - 2015-08-29,24
2015-08-30 - 2015-09-05,22
2015-09-06 - 2015-09-12,23
2015-09-13 - 2015-09-19,26
2015-09-20 - 2015-09-26,24


Top subregions for carnegie mellon university
Subregion,carnegie mellon university
Pennsylvania,100
New Jersey,27
Maryland,27
West Virginia,24
District of Columbia,23
Ohio,22
Massachusetts,21
Connecticut,20
New York,19
New Hampshire,18
Virginia,15
California,13
Illinois,13
Michigan,13
Indiana,12
Washington,10
Iowa,10
North Carolina,10
Colorado,9
Texas,9
Minnesota,9
Missouri,9
Florida,9
Georgia,8
Wisconsin,8
Kentucky,8
South Carolina,8
Arizona,8
Tennessee,7
Oregon,7
Alaska,0
Alabama,0
Arkansas,0
Delaware,0
Hawaii,0
Idaho,0
Kansas,0
Louisiana,0
Maine,0
Mississippi,0
Montana,0
North Dakota,0
Nebraska,0
New Mexico,0
Nevada,0
Oklahoma,0
Rhode Island,0
South Dakota,0
Utah,0
Vermont,0
Wyoming,0


Top metros for carnegie mellon university
Metro,carnegie mellon university
Pittsburgh PA,100
Philadelphia PA,10
New York NY,7
Washington DC (Hagerstown MD),7
Boston MA-Manchester NH,7
San Francisco-Oakland-San Jose CA,5
Chicago IL,4
Los Angeles CA,4
Dallas-Ft. Worth TX,3
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Detroit MI,0
Savannah GA,0
Ft. Wayne IN,0
Cleveland-Akron (Canton) OH,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Atlanta GA,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Miami-Ft. Lauderdale FL,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Orlando-Daytona Beach-Melbourne FL,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Tampa-St. Petersburg (Sarasota) FL,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Raleigh-Durham (Fayetteville) NC,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
St. Louis MO,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Minneapolis-St. Paul MN,0
Kansas City MO,0
Milwaukee WI,0
Houston TX,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Denver CO,0
Colorado Springs-Pueblo CO,0
Phoenix AZ,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
