Web Search interest: obama
United States; 2004 - present

Interest over time
Week,obama
Sioux Falls(Mitchell) SD,57
Traverse City-Cadillac MI,56
Yakima-Pasco-Richland-Kennewick WA,56
Bowling Green KY,56
Fargo-Valley City ND,55
Minot-Bismarck-Dickinson(Williston) ND,55
Bend OR,55
Augusta GA,55
Eureka CA,55
Odessa-Midland TX,55
Columbus-Tupelo-West Point MS,55
Great Falls MT,55
Watertown NY,54
Wausau-Rhinelander WI,54
Portland OR,53
Florence-Myrtle Beach SC,53
Yuma AZ-El Centro CA,53
Bakersfield CA,52
Elmira NY,51
Laredo TX,50
Harlingen-Weslaco-Brownsville-McAllen TX,45
Abilene-Sweetwater TX,45
Roanoke-Lynchburg VA,34
Presque Isle ME,0
Alpena MI,0
North Platte NE,0
Glendive MT,0


Top cities for obama
City,obama
Washington,100
New York,71
Richardson,68
Atlanta,66
Chicago,66
Miami,66
Los Angeles,64
St. Louis,64
Philadelphia,61
Boston,61
San Francisco,57
Orlando,57
Austin,57
Seattle,56
Denver,56



Top searches for obama
barack obama,100
president obama,50
michelle obama,50
obama care,30
obama speech,30
romney,25
obama news,20
obama 2012,15
mccain,15
obama plan,10
barak obama,10
obama health care,10
obama campaign,10
obama birth certificate,10
obama approval,5
obama polls,5
obama pictures,5
obama for president,5
mitt romney,5
obama phone,5
obama immigration,5
obama poll,5
white house,5
obamacare,5
obama approval rating,5
obama quotes,5
obama inauguration,5
romney vs obama,5
president barack obama,5
obama muslim,5
obama biden,5
obama biography,5
barrack obama,5
malia obama,5
obama family,5
obama wiki,5
obama girl,5
hillary clinton,5
obama jokes,5
obama twitter,5
snopes,5
john mccain,5
obama flag,5
obama 2016,5
barack obama biography,5
obama dog,5
obama age,5
obama antichrist,5
obama budget,5
obama gun control,5



Rising searches for obama
mccain,Breakout
obama 2012,Breakout
obama birth certificate,Breakout
obama care,Breakout
obama health care,Breakout
obama plan,Breakout
romney,Breakout
president obama,+650%
michelle obama,+500%
obama news,+300%



